id		Majority protein IDs
0		O23676;A0A023T774
1		A0A075M4Z6;A0A075M3N4;F4KA76;P10798;P10797;B3H5S2;P10796
2		A0A075M569;Q0WVH4;P10795;Q42306;Q42046;F4HRR5
3		Q9LV53;A0MEY1
4		A0NAA9;Q0WWV8;P51424
5		A1A6K6;Q8GYL1;F4I435;O49280
6		O04503;A1L4X2;Q56XH8
7		Q9M0D1;Q9M0D2;O80803;A2RVL7;Q41943;Q9FI31;Q9ZV40
9		A4FVN8;Q9XIJ3
10		A4FVR1;Q9LFZ2;Q9LG31
12		A7KNE3;G1C2S9;F4IMB5
16		A8MQK3;Q9ZP06;Q9LKA3
18		A8MR40;Q9SIL3;O49457
20		B9DFR9;Q06611;D9IX99;A8MRW1;Q42039;Q42035;F4JHB6
22		A8MS28;Q0WRB8;P51419
23		Q93Z49;A8MS32;Q9FMI6;Q9C787
25		A8MS83;Q9M3C3;Q8LD46
26		A8MSB9;F4JTU2;Q9SVM8;A8MRQ4
29		B0FV99;F4I472;Q08112
33		F4KD16;B9DGM5;B3H5Q0;F4KD18;P92999;P92996
34		B3H745;Q9LHS2_ARATH Emb;Q8W553;B3H5W6;F4JYC1
35		B3H6J5
36		Q0WL28;B3H6L4;Q9SFY4
37		B3H7H5;Q9MAC5;B9DFT7
38		F4JWN4;B4F7Q4;B4F7N8
39		B5BRC9;Q9C652;G1JSI0
41		B9DFG5-2;B9DFG5;Q9LUT0;O49339
42		B9DFJ0;F4J4J3;Q9C5I5;Q96327;F4J4J5
44		Q94BQ6;O04535;B9DFN3;F4I3X3
45		Q8L869;Q0WWX4;B9DFP5
49		Q9FPS3;B9DGE6
51		F4I577;F4I576;P92947-2;B9DGR6;P92947
52		P40941;B9DGS0
53		Q38884;Q0WVZ3;B9DGS3;F4II65
56		B9DH47;F4J1H3;Q9LU22;F4J1H2
58		B9DHL6;F4JAK1;Q9SE60-2;Q9SE60;O80585
61		F4J912;B9DHP6;Q8LBI1;Q56X31
62		Q0WW26;B9DHT9
63		Q56ZL0;B9DHZ0;Q9SCV8
64		B9DHZ8;P17745
65		Q9LX88;P42798;B9DI04;O80646;A0MES6
66		B9DI38;O23049
69		Q41963;C0SVC9
71		Q9LD90;C0SVF3
74		Q42034;C0Z2J4;Q9FVT2
75		C0Z2J7;Q9SFU7
77		O49409;C0Z2R6;Q93Z30
78		C0Z313;Q9SN57;Q8L8Z0;O81618;F4JN75;F4JN76
79		Q8LCJ1;Q42418;C0Z3G0
80		Q9FL69;C4NZX2
115		E0X9N4;E0X9N5;E0X9N6
118		Q9FYF5;Q9M6R5;F4HRV8
119		Q8VZM1;F4HS68;Q9M8L0
120		F4HS98;F4HS99;Q9LNJ1;Q9XI40;F4HZK4;F4JKH6
124		O81909;F4HVV7;F4HVV6
127		F4K5J2;Q39160;F4HWY6;F4K5J1;F4HXP9;F4IRU3
128		Q8RXE7-3;Q8RXE7-2;Q8RXE7;F4HXP0
129		Q9XI56;Q8H1H8;F4HXZ1
130		Q9XI49;Q9C5G2;F4HZI6;F4HZI7;F4HZI8
132		F4HZN9;Q9XI01;Q9SRG3
133		Q9LM53;F4HZS8
138		F4I2J8-2;F4I2J8
142		F4I5C6;Q8VZ94;O04528
143		F4I5Y8;Q9C5Z2
144		F4I894;F4I893;Q9XIR5
145		F4I8B9
146		F4I906;Q9LNP1
147		Q0WLZ7;O48697;F4I982;F4I983
149		F4IE90;Q8VY00;Q9LQK8
151		F4IHJ8;Q9SIK2;C0Z3A5;B3H4B6;Q9T029;Q8GYL5;Q9SIW5
153		Q0WUD1;F4IIM1
154		F4IIR1;Q0WQD5;Q9SK04
155		F4IIU4
156		Q8LPG3;Q8LE50;Q9ZVW9;F4ILE0;F4ILE1
157		Q9SJ58;F4ILR7;Q56WR8
159		F4IP94;Q9SJG8
165		Q9LT32;F4IWB2
167		Q9LHJ0;Q0WPV0;F4J077
169		F4J1V2;Q0V7U1;P42825;Q94AW8;Q0WW92
172		Q84WL6;F4J2V3;Q9LS82
174		F4J5A9;F4J5A7;Q9LIR7
175		F4J5S0;F4J5S1-2;F4J5S1;F4J5R9
178		Q0WL60;Q9SFF5;F4J9K9
179		F4J9U9;Q9LTX1;Q9C7B4;Q8LBD4
181		F4JB05;F4JB06
182		F4JBH6;F4JBH5;P49078
183		F4JBY2;Q8RWV0;F4IW47
190		Q8VYN2;F4JJI7
191		F4JL11
192		O04425-4;F4JLR7;Q5I5A2;O04425;O04425-3;O04425-2
193		Q9SZD0;Q8GWD9;F4JM55
194		F4JME0;Q9S7N9
195		P19456;F4JPJ7;C0Z2R2;P20649
196		Q9STX5;Q8RVG8;F4JQ55
197		F4JQG2;O23212;O23212-2;O23212-3;B9DG58
198		O23211;F4JQG6
199		O49583;F4JRY9;Q8GUN1
200		Q9M0K0;O65601;F4JTA8;Q8RXF0
202		F4JU98;Q94C48
205		F4JWF3;Q9LFN6;Q56XG6;F4JWF7;F4JWF6;Q56XG6-3
206		Q94JY7;F4JWJ6;F4JWJ7;Q9FK48
210		F4JZ11;F4JZ12;Q9FKY1
212		Q9FKI2;F4K1D3;Q9SJB9;Q93VF1
214		F4K1Z0;Q93ZP1
215		F4K2P4;Q8L502
218		F4K4E3
219		F4K4Y6;Q9FM71
222		F4K6W6;Q41969
224		Q96533;F4K7D6
228		F4KDN1;Q9FMF0;Q84ZW9;F4KDN0;F4KDM9;Q84ZX0;Q0WLL8
229		Q9LZ41;Q0WWT8;F4KDR2
232		O23140;F4KHJ7
234		Q9SE83;Q9LQ55;G1JSJ5;C0Z3G3
