id		Majority protein IDs
0		Q9C8L9;2129727 and contains RNA recognition PF;Q9LPI3;Q67ZC3
1		O23676;A0A023T774
2		Q8LPK5;A0A068FHR7
3		Q9FI98;A0A068FHS2
4		Q94JQ6;A0A068FJJ5
5		Q0WUI9;A0A068FL15
6		Q0WVX5;A0A068FPX2
7		Q9M314;A0A068LMZ4
8		A0A075M4Z6;A0A075M3N4;P10798;P10797;B3H5S2;F4KA76
9		A0A075M556
10		A0A075M569;Q0WVH4;P10795
11		A0A078;O23087;A0A077
12		F4IGA5;A0A089G293;F4IGA5-2
13		A0A090MHY5;Q8H103;Q8H103-2
14		F4J9A0;A0A096ZN48;Q9SCP3
15		Q9MAC3;Q39074;F4J116;Q8GUH7;A0A097NUP6
16		Q9FVQ5;A0A097NUQ2
17		F4I248;A0A097NUQ3
18		Q9C8G5;A0A097NUQ9
19		A0A097PJ44;Q9SN90
20		A0A097PJP3;F4INF9;O80786
21		A0A097PJY0;Q9LU60;F4KBV6
22		A0A097PK23;Q8L922;Q94EJ3
23		A0A097PL68;Q8RUF8;Q8RUF8-2
24		A0A097PMD7;Q9SE45
25		A0A097PND6;Q8GW20;Q8GW20-2
26		A0A097PPH7
27		A0A097PPU5;Q9SAC0
28		A0A097PQG1;Q9MA15;Q9MA15-2
29		A0A097PQU4;Q9SUP5
30		A0A097PRK9;Q8GWW7
31		Q9FKW7;A0A097PSE1;F4JZ44;Q6NLP8;F4JZ42
32		A0A097PSQ3;Q8LER2;Q9SU93
33		A0A097PSW2;Q9FGN0;Q0WQF0;B1Q4S9
34		A0A097PSZ6;O48726;Q0WRE8
35		A0JJX5
36		Q8LDY1;Q0WNI6;A0JQ00;Q9LZ11;F4KDS7
37		Q9LQR9;A0JQ11
39		F4I543;A0MDJ6
40		Q1G3G5;A0MDV0
41		Q8LD41;O23020;A0ME54
42		Q9FE63-2;Q9FE63;Q38905;Q1PF40;A0MEN1
43		O81627;A0MF63
44		Q8L946;Q1PE68;A0MF82;O49407
46		Q9FF82_ARATH Dbj;Q1PE01;A0MFD8
47		Q1PDV6;A0MFG6
48		Q3E9C8;A0MFG9
49		A0MFS5;O04624
50		Q9ZU35;A0NAA8;Q9ZU35-2
51		A0NAB2;Q8LEB4;Q0WW55;F4KJ62;Q93ZP0
52		A2RVV4;F4KC29;A1A6F3;F4KC30;Q9FHH3;Q8GWF9;Q8LFU2
53		Q8LAZ7;A1A6G7;F4I325
54		A8MQX7;Q9SHH5;A1A6H3
55		A1A6I1;O04546
56		Q67XG9;A8MR70;Q39140-2;Q67X98;Q39163;Q39140;P43273;B2BDS4;B2BDR5;A1A6J5;F4J8P7
57		O49280;A1A6K6
58		A1A6M1;Q9SVP5
59		A1A6N0;F4J0R5;Q9LET5;C0Z252
60		A1L4U4;P47924
61		A1L4W5
62		Q06548;P46573;F4IJN8;A1L4W8;F4HQQ0
63		A1L4X7;F4J4T1
64		Q9SRN8;F4IZU3;A1L4X9;Q0WS78;Q8L992
65		Q9SS46;A1L4Y1;F4J3Q8
66		A1L4Y4;Q9FKG8
67		A2RVJ8
68		A2RVK7;Q9SZS4
69		O80803;A2RVL7
70		A2RVM0-3;A2RVM0-2;A2RVM0
71		Q9LF67;A2RVM4
72		Q9FIX2;A2RVP6
73		A2RVP7;A1XJK0
74		Q304B8;O80723;A2RVR7
75		A2RVS6-2;A2RVS6
76		A2RVT9;Q9FMB3
77		A2RVV0;Q9LPU8;Q8LGI0;Q0WUM9
78		Q8LD02;A2RVV3;Q9M8S7
79		A2RVV7-3;A2RVV7
80		Q9SZC5;A2RVW1;Q8GYP1
81		A3KPF2
82		A3KPF2-2
83		A3KPF5
84		Q43873;A3KPG1
85		A4FVN8;Q9XIJ3
86		Q8S899;Q500V3;A4FVQ6;Q0WVX0
87		Q9SW96;A4FVR0
88		Q9FLL9_ARATH Gb;Q8GXK6;B9DG14;A4FVS2
89		Q70E96;A4FVT2
90		A4GNA8;Q0WW96;Q56ZL3
91		A4GSN8;A4GSN8-3;A4GSN8-2
92		A4UVN3;Q8W4F3;F4ICG2
93		Q9SYZ0;A4VCL7
94		Q9LF28;F4K9U3;A5HEI1
95		Q9FGY9;A5PHD1
96		A5Y7B8;Q0WUG9;O64903;A5Y7B9;A5Y7D1
97		A5YWQ4;A5YWP1;A5YWN9;A5YWN4;A5YWN3;Q9M1S8;B5X581
98		A5YXQ9;A5YXQ5;A5YXQ3;F4J2U7;Q38825
