id		Majority protein IDs
346		P51427
697		Q9LXG1;B3H7J6
769		Q9STY6
347		P51430;F4KGU2
338		P49206;Q8LPJ7
572		Q9C514
335		P46286
544		Q944A2;Q9LNU5
337		P49200;Q8H189
526		Q93W34
729		Q9SAB3;Q9SAB3-2;Q9SAB3-3
392		Q0WW84
180		Q43349-2;Q43349;F4JAF3
639		Q9FXA2
718		Q9M339
21		A8MRX2;Q42340;F4JWM1;Q9SK22
342		Q8LDY5;P49688
631		Q9FPJ8
675		Q9LQI9;B3H4Q3
213		F4K1Y4;Q9FME2;Q8LEI7
658		Q9LJH8
720		Q9M885
401		Q38896
481		Q8LD03
468		Q8L719-2;Q8L719
384		Q0WR30;Q8LF90;Q9M9E6
328		P42731
60		Q9T043;B9DHP0
140		F4I3B3
787		Q9ZUT9
320		Q5PNZ9;P34788;Q6LAE1
177		Q9LSG2;Q8VYJ4;F4J8X6
595		Q9FGS0
306		P16181
221		Q8VZG7;F4K6N0;Q9LY25
757		Q9SQU4
257		O23144
441		Q6NPN3
586		Q9CAV0
495		Q8RWN5;C0Z388
188		Q9SFD3;Q8W555;F4JFN7
295		O82299
161		P60039;F4IT48
420		Q9FE65;Q42351;A8MR50
122		Q94AY2;Q8H1N8;F4HUQ5;Q9SYP9
521		Q93VA8;Q9LQR7
635		Q9FVQ1
369		Q03250;F4IHK9;C0Z2N6;C0Z387
184		F4JD88;Q9M8Z6
253		O22791
414		Q3MK93;Q9LJE5;F4JDC2;F4JDC3;Q8H0S7;F4JDC5
491		Q8LFS6;Q8LFS6-2
763		Q9SS17
255		O22957;F4IGU7
123		Q9SYG4;F4HV67
394		Q9CAX6;Q1H555
203		Q9LZ82;F4JW99
55		F4HWB0;B9DGU1;Q9LQV9
307		Q8H154;P17094;Q0WLE7;A8MQQ1
761		Q9SRX2;Q8W101
323		P38666;Q42347
499		Q8RYC3
789		Q9ZUU4
245		O22173
386		Q9FE58;Q0WRH6
189		Q9ASP6;F4JHN3;O23093;F4JHN6
482		Q9LVT8;Q8LDQ7;A8MQD7;A8MRX4
498		Q8RXK6;B9DFK9
225		F4K7E0;Q9FND0_ARATH Gb
428		Q501B0;O81034
415		Q41188;Q41188-2
774		Q9SX79;Q9SX79-2
357		P60040;A8MRH4
665		Q9LKA4
437		Q66GR6-2;Q66GR6
552		Q9ZU66;Q94C63;Q8LAF1
370		Q39209;Q04836-2;Q04836;Q04836-3
364		P92966;P92966-2;P92966-3;P92966-4;P92966-5
616		Q9FLT0;Q0WM01
438		Q9C805;Q94BU4;Q67YS0
126		F4HWS5;Q9LNG4
135		F4I0X0;Q8GZ26
220		F4K5C7;Q93VH9;Q8VYK6;P49204;C0Z342;F4IMI7
265		O23593;Q8LB56
617		Q9FM47
286		O80567;O80567-3;O80567-2
449		Q84W91;A8MR17
150		Q9LPI5;F4IEC7
647		Q9LES2
708		Q9M047;Q94JX2;P93652;Q9M047-2
40		Q93VB8;Q8L8Y0;G1JSI6;B5BRD8;G1JSH2
17		A8MR27;Q6ICX4;Q0WQH0
709		Q9M065
646		Q9LDI9;F4I0L1
745		Q9SIP7
501		Q8VXZ9-2;Q8VXZ9
628		Q9FNZ1-2;Q9FNZ1
116		Q8W592;F4HQH8
731		Q9SB63
139		F4I323;Q9ASQ8;F4I321;O23131
46		B9DG17;Q08682
620		Q9FYB1;Q9FMG4
270		O49160
391		Q9LD55;Q0WW10;Q0WW15
