region	coord	gene	WT PAT#
3UTR	5946	AT1G01010	1
3UTR	6794	AT1G01020	1
intron	7108	AT1G01020	1
3UTR	38808	AT1G01070	2
intron	39300	AT1G01070	12
3UTR	45292	AT1G01080	3
intron	46301	AT1G01080	1
intron	46343	AT1G01080	1
3UTR	50018	AT1G01100	2
3UTR	54642	AT1G01110	2
intron	63177	AT1G01130	3
3UTR	64111	AT1G01140	1
3UTR	64179	AT1G01140	35
3UTR	64369	AT1G01140	2
CDS	64903	AT1G01140	1
3UTR	74107	AT1G01160	46
3UTR	73887	AT1G01170	2
3UTR	73947	AT1G01170	12
CDS	76841	AT1G01180	3
3UTR	82923	AT1G01190	4
3UTR	82991	AT1G01190	1
3UTR	83022	AT1G01190	1
3UTR	86482	AT1G01200	1
3UTR	86512	AT1G01200	1
3UTR	97300	AT1G01225	1
3UTR	97398	AT1G01225	2
3UTR	97426	AT1G01225	6
3UTR	101840	AT1G01240	1
CDS	101496	AT1G01240	7
3UTR	118596	AT1G01300	5
3UTR	118628	AT1G01300	7
3UTR	121538	AT1G01320	2
intron	130221	AT1G01320	1
3UTR	132324	AT1G01340	3
3UTR	138152	AT1G01350	2
3UTR	145560	AT1G01370	1
3UTR	145623	AT1G01370	6
3UTR	147813	AT1G01380	1
3UTR	166548	AT1G01453	1
3UTR	178210	AT1G01480	2
3UTR	178256	AT1G01480	1
3UTR	178306	AT1G01480	1
3UTR	180058	AT1G01490	2
CDS	180829	AT1G01490	2
3UTR	192339	AT1G01520	1
3UTR	204443	AT1G01560	1
intron	206008	AT1G01570	1
3UTR	213109	AT1G01580	1
3UTR	217608	AT1G01590	1
3UTR	221163	AT1G01600	3
3UTR	221189	AT1G01600	1
3UTR	221278	AT1G01600	3
3UTR	225693	AT1G01620	1
3UTR	230769	AT1G01630	2
3UTR	230843	AT1G01630	1
3UTR	230932	AT1G01630	1
3UTR	230970	AT1G01640	8
3UTR	231025	AT1G01640	5
3UTR	232853	AT1G01650	2
3UTR	246271	AT1G01680	11
3UTR	246317	AT1G01680	1
3UTR	246369	AT1G01680	2
3UTR	269844	AT1G01720	2
3UTR	269791	AT1G01725	3
3UTR	269833	AT1G01725	23
3UTR	271883	AT1G01740	7
3UTR	276260	AT1G01750	1
3UTR	276311	AT1G01750	4
intron	282272	AT1G01770	8
intron	282316	AT1G01770	13
3UTR	284311	AT1G01780	1
3UTR	291133	AT1G01790	1
3UTR	304132	AT1G01860	2
intron	315193	AT1G01910	68
CDS	318570	AT1G01920	2
3UTR	330609	AT1G01950	1
3UTR	347593	AT1G02000	11
3UTR	352742	AT1G02020	1
CDS	359035	AT1G02040	1
3UTR	360785	AT1G02060	1
3UTR	367243	AT1G02065	1
3UTR	392826	AT1G02100	27
3UTR	392852	AT1G02100	1
3UTR	399988	AT1G02120	1
intron	406667	AT1G02145	1
3UTR	410519	AT1G02150	7
3UTR	410660	AT1G02150	1
3UTR	410686	AT1G02150	1
3UTR	410717	AT1G02150	1
3UTR	411638	AT1G02160	1
3UTR	440373	AT1G02260	2
3UTR	440460	AT1G02260	18
3UTR	440545	AT1G02260	1
CDS	443467	AT1G02270	1
