region	coord	gene	Oxt PAT#
CDS	25306	AT1G01040	20
CDS	47895	AT1G01090	2
CDS	63559	AT1G01130	1
3UTR	64239	AT1G01140	1
3UTR	73974	AT1G01160	48
3UTR	74001	AT1G01160	33
CDS	74110	AT1G01170	1
intron	76664	AT1G01180	1
3UTR	95556	AT1G01220	4
3UTR	95595	AT1G01220	50
3UTR	95735	AT1G01220	1
3UTR	104455	AT1G01250	2
CDS	127255	AT1G01320	3
3UTR	143193	AT1G01360	1
3UTR	147846	AT1G01380	3
3UTR	166659	AT1G01453	4
3UTR	166692	AT1G01453	1
5UTR	168742	AT1G01460	10
CDS	180432	AT1G01490	1
3UTR	186825	AT1G01500	1
CDS	201293	AT1G01550	1
CDS	229252	AT1G01630	1
3UTR	271945	AT1G01740	1
3UTR	282607	AT1G01770	1
3UTR	294942	AT1G01800	1
3UTR	298531	AT1G01830	1
3UTR	313069	AT1G01900	28
3UTR	313225	AT1G01900	1
3UTR	313160	AT1G01910	1
3UTR	319611	AT1G01920	1
3UTR	343179	AT1G01990	1
CDS	343534	AT1G01990	1
CDS	347063	AT1G02000	26
CDS	347321	AT1G02000	2
3UTR	352376	AT1G02010	1
CDS	350964	AT1G02010	1
CDS	351157	AT1G02010	1
intron	350789	AT1G02010	1
3UTR	386800	AT1G02080	1
intron	383263	AT1G02080	18
3UTR	387327	AT1G02090	8
3UTR	392745	AT1G02100	51
CDS	393680	AT1G02110	1
CDS	399105	AT1G02120	3
CDS	399224	AT1G02120	1
CDS	399338	AT1G02120	5
3UTR	413483	AT1G02170	5
3UTR	413601	AT1G02180	1
3UTR	422256	AT1G02205	1
3UTR	435067	AT1G02230	1
3UTR	440720	AT1G02260	3
CDS	440758	AT1G02260	2
CDS	440799	AT1G02260	3
3UTR	443276	AT1G02270	4
CDS	477995	AT1G02380	1
CDS	482956	AT1G02390	1
intron	489063	AT1G02400	1
3UTR	511738	AT1G02470	1
3UTR	511768	AT1G02470	3
CDS	519715	AT1G02500	1
CDS	566128	AT1G02640	1
