region	coord	gene	WT PAT#	Oxt6 PAT#
3UTR	6855	AT1G01020	1	1
CDS	24218	AT1G01040	1	1
CDS	27530	AT1G01040	1	2
3UTR	31219	AT1G01050	1287	2098
3UTR	38713	AT1G01070	11	3
3UTR	45381	AT1G01080	41	28
3UTR	47484	AT1G01090	203	244
3UTR	50141	AT1G01100	221	1088
3UTR	54670	AT1G01110	2	2
3UTR	57227	AT1G01120	30	8
3UTR	57283	AT1G01120	10	8
3UTR	64318	AT1G01140	32	5
3UTR	74047	AT1G01160	627	1454
3UTR	73992	AT1G01170	119	4
3UTR	74044	AT1G01170	2	2
3UTR	82862	AT1G01190	11	1
3UTR	95646	AT1G01220	60	117
3UTR	97340	AT1G01225	4	5
3UTR	99240	AT1G01230	892	1104
3UTR	99295	AT1G01230	1	1
3UTR	104503	AT1G01250	8	2
3UTR	104653	AT1G01250	4	5
3UTR	111539	AT1G01260	87	117
3UTR	118715	AT1G01300	11	64
3UTR	118758	AT1G01300	19	31
3UTR	121137	AT1G01320	153	68
3UTR	138095	AT1G01350	2	26
3UTR	145595	AT1G01370	3	1
3UTR	156749	AT1G01430	181	227
3UTR	159789	AT1G01440	2	3
3UTR	159832	AT1G01440	1	3
3UTR	166610	AT1G01453	2	3
3UTR	172040	AT1G01470	3	142
3UTR	172189	AT1G01470	1941	2418
3UTR	180161	AT1G01490	7	10
3UTR	180230	AT1G01490	15	23
3UTR	180307	AT1G01490	6	1
3UTR	180372	AT1G01490	19	33
CDS	180721	AT1G01490	15	2
3UTR	186745	AT1G01500	9	12
3UTR	186786	AT1G01500	8	2
3UTR	186876	AT1G01500	15	34
3UTR	190033	AT1G01510	5	2
3UTR	190158	AT1G01510	26	1
3UTR	198685	AT1G01540	1645	3357
3UTR	201719	AT1G01550	19	3
3UTR	221103	AT1G01600	2	1
3UTR	221684	AT1G01610	14	1
3UTR	221795	AT1G01610	215	256
3UTR	225868	AT1G01620	1646	44
3UTR	230883	AT1G01630	14	2
3UTR	233014	AT1G01650	31	67
3UTR	266218	AT1G01710	23	26
3UTR	269755	AT1G01720	7	1
3UTR	269888	AT1G01725	4	3
3UTR	272008	AT1G01730	810	3594
3UTR	282658	AT1G01770	2	1
intron	282226	AT1G01770	1	1
3UTR	284267	AT1G01780	37	139
3UTR	291057	AT1G01790	42	24
3UTR	296022	AT1G01820	31	4
3UTR	296058	AT1G01820	50	8
3UTR	296101	AT1G01820	2	1
3UTR	304198	AT1G01840	2	1
3UTR	313147	AT1G01900	5	40
3UTR	313259	AT1G01910	88	201
3UTR	319645	AT1G01920	2	1
3UTR	324857	AT1G01940	6	2
3UTR	324916	AT1G01940	20	3
3UTR	330513	AT1G01950	11	8
3UTR	330598	AT1G01960	83	164
3UTR	340075	AT1G01970	158	320
3UTR	343266	AT1G01990	41	32
3UTR	343401	AT1G01990	1	3
3UTR	347531	AT1G02000	202	287
3UTR	352513	AT1G02010	2	1
3UTR	352656	AT1G02020	2	1
3UTR	359100	AT1G02050	5	10
CDS	359380	AT1G02050	1	1
3UTR	367301	AT1G02065	6	3
3UTR	370254	AT1G02070	115	246
3UTR	386848	AT1G02080	29	2
3UTR	395531	AT1G02110	35	47
CDS	395107	AT1G02110	1	2
CDS	395429	AT1G02110	1	4
3UTR	399919	AT1G02120	269	455
intron	399439	AT1G02120	1	3
3UTR	400091	AT1G02130	350	15
3UTR	400186	AT1G02130	3	1
3UTR	403140	AT1G02140	2	2
3UTR	403211	AT1G02140	349	49
3UTR	403287	AT1G02140	32	1
3UTR	408614	AT1G02145	41	2
3UTR	410581	AT1G02150	25	5
3UTR	411534	AT1G02160	7	26
3UTR	411587	AT1G02160	40	11
3UTR	413548	AT1G02170	14	6
3UTR	413543	AT1G02180	4	19
3UTR	422320	AT1G02205	7	23
3UTR	422439	AT1G02205	5	17
3UTR	434957	AT1G02230	3	20
3UTR	435028	AT1G02230	3	4
3UTR	440500	AT1G02260	7	2
3UTR	440642	AT1G02260	43	49
CDS	441217	AT1G02260	1	3
3UTR	443222	AT1G02270	50	231
3UTR	448472	AT1G02280	155	1
3UTR	450526	AT1G02290	7	1
3UTR	455433	AT1G02300	4	2
3UTR	455518	AT1G02300	37	19
3UTR	458103	AT1G02305	21	21
3UTR	463872	AT1G02335	22	2
3UTR	470792	AT1G02350	1	1
3UTR	471989	AT1G02360	59	3
3UTR	478959	AT1G02380	1	1
3UTR	483293	AT1G02390	66	32
3UTR	489541	AT1G02400	577	8
3UTR	492863	AT1G02410	45	8
3UTR	513911	AT1G02475	69	21
3UTR	520350	AT1G02500	49	54
3UTR	528877	AT1G02520	2	1
3UTR	539989	AT1G02560	428	58
3UTR	560971	AT1G02630	1	1
3UTR	567647	AT1G02640	9	35
3UTR	567702	AT1G02640	6	1
3UTR	567770	AT1G02640	11	6
3UTR	572029	AT1G02660	40	1
3UTR	572100	AT1G02660	18	6
3UTR	572167	AT1G02660	4	1
3UTR	587220	AT1G02690	16	4
3UTR	589292	AT1G02700	2	1
CDS	589805	AT1G02710	2	1
3UTR	594594	AT1G02730	21	8
3UTR	599354	AT1G02740	71	10
3UTR	599421	AT1G02740	2	1
3UTR	604289	AT1G02750	12	5
3UTR	607946	AT1G02780	2307	3543
3UTR	629811	AT1G02840	16	8
3UTR	633183	AT1G02850	41	2
3UTR	633260	AT1G02850	11	8
3UTR	637296	AT1G02870	20	5
3UTR	653651	AT1G02900	1	2
3UTR	653762	AT1G02900	180	375
3UTR	653843	AT1G02900	67	43
3UTR	655569	AT1G02910	60	232
3UTR	658710	AT1G02920	119	109
3UTR	661183	AT1G02930	384	3
3UTR	687865	AT1G03000	3	1
3UTR	696397	AT1G03010	1	44
3UTR	703905	AT1G03040	13	7
3UTR	712482	AT1G03060	337	656
3UTR	712783	AT1G03060	2	1
3UTR	731703	AT1G03080	17	29
3UTR	743939	AT1G03090	58	34
3UTR	744028	AT1G03090	4	14
3UTR	744192	AT1G03090	1	6
3UTR	751923	AT1G03110	4	10
3UTR	753253	AT1G03120	1	67
3UTR	753307	AT1G03120	3	1
3UTR	753303	AT1G03130	7	3
3UTR	753416	AT1G03130	1110	287
3UTR	753507	AT1G03130	8	40
3UTR	754383	AT1G03140	59	81
3UTR	766156	AT1G03160	32	50
3UTR	779977	AT1G03190	105	98
3UTR	788557	AT1G03220	392	36
3UTR	791525	AT1G03230	47	2
3UTR	793351	AT1G03250	416	456
3UTR	795453	AT1G03260	2	1
3UTR	795533	AT1G03260	49	191
3UTR	806845	AT1G03280	4	1
3UTR	807030	AT1G03280	23	4
CDS	805972	AT1G03280	1	2
3UTR	810745	AT1G03290	1	1
3UTR	810796	AT1G03290	1	1
3UTR	810929	AT1G03300	6	14
3UTR	818024	AT1G03330	140	711
3UTR	822637	AT1G03350	90	42
CDS	823654	AT1G03350	1	3
3UTR	826286	AT1G03360	22	4
3UTR	826366	AT1G03360	10	1
3UTR	835382	AT1G03370	3	1
3UTR	840848	AT1G03380	3	3
3UTR	840893	AT1G03380	13	1
3UTR	842776	AT1G03400	49	28
3UTR	849432	AT1G03430	36	320
3UTR	853939	AT1G03440	15	384
3UTR	853995	AT1G03440	462	107
3UTR	854087	AT1G03440	404	185
3UTR	854135	AT1G03440	228	391
3UTR	866014	AT1G03470	1	4
3UTR	869052	AT1G03475	189	101
3UTR	869112	AT1G03475	4	62
3UTR	869157	AT1G03475	1	1
3UTR	877872	AT1G03520	58	1
3UTR	880495	AT1G03530	3	1
3UTR	885567	AT1G03550	7	1
3UTR	890160	AT1G03560	78	66
3UTR	890419	AT1G03560	24	56
CDS	891393	AT1G03560	3	1
3UTR	894272	AT1G03590	31	24
3UTR	899654	AT1G03600	817	50
3UTR	902868	AT1G03610	6	5
3UTR	902920	AT1G03610	14	3
3UTR	902957	AT1G03610	16	1
3UTR	902988	AT1G03610	1	1
3UTR	909294	AT1G03630	1	3
3UTR	909338	AT1G03630	214	67
CDS	908739	AT1G03630	2	2
3UTR	916873	AT1G03680	562	275
3UTR	916957	AT1G03680	5	15
3UTR	920555	AT1G03687	10	2
3UTR	921871	AT1G03700	8	1
3UTR	930827	AT1G03730	3	1
3UTR	936984	AT1G03740	9	15
3UTR	937026	AT1G03740	17	11
CDS	935319	AT1G03740	33	14
3UTR	941055	AT1G03760	4	1
3UTR	959841	AT1G03820	2	3
3UTR	979400	AT1G03860	62	2647
3UTR	982511	AT1G03870	81	6
3UTR	982592	AT1G03870	14	2
3UTR	988140	AT1G03880	5	19
3UTR	1000357	AT1G03910	3	22
3UTR	1004397	AT1G03920	1	4
3UTR	1008285	AT1G03930	17	26
3UTR	1011234	AT1G03950	1	1
3UTR	1019209	AT1G03970	1	5
3UTR	1040157	AT1G04020	5	3
3UTR	1040199	AT1G04020	1	1
3UTR	1050662	AT1G04070	35	2
3UTR	1056683	AT1G04080	107	7
3UTR	1061206	AT1G04100	13	5
3UTR	1075544	AT1G04140	171	20
3UTR	1099896	AT1G04170	52	6
3UTR	1106462	AT1G04190	22	1
3UTR	1114041	AT1G04200	27	3
3UTR	1114110	AT1G04200	1	1
3UTR	1119691	AT1G04210	16	2
3UTR	1119780	AT1G04220	4	1
3UTR	1128111	AT1G04230	10	61
3UTR	1128241	AT1G04240	38	3
3UTR	1138584	AT1G04250	24	2
3UTR	1141671	AT1G04270	1895	1156
3UTR	1148716	AT1G04300	5	23
3UTR	1154935	AT1G04310	3	4
3UTR	1166630	AT1G04350	1	1
3UTR	1166766	AT1G04350	39	2
3UTR	1179405	AT1G04390	19	2
3UTR	1185559	AT1G04400	53	30
3UTR	1189192	AT1G04410	458	574
3UTR	1189404	AT1G04410	9	137
3UTR	1193885	AT1G04420	376	37
3UTR	1201429	AT1G04430	8	2
3UTR	1205825	AT1G04440	24	9
3UTR	1217396	AT1G04480	29	112
3UTR	1230715	AT1G04510	4	1
3UTR	1230805	AT1G04510	53	5
3UTR	1234231	AT1G04530	164	7
3UTR	1246056	AT1G04560	1	3
3UTR	1258679	AT1G04590	14	17
3UTR	1282758	AT1G04620	41	14
3UTR	1289753	AT1G04630	408	757
3UTR	1293352	AT1G04640	130	2
3UTR	1300485	AT1G04660	18	14
3UTR	1303531	AT1G04680	20	3
3UTR	1303615	AT1G04680	1	2
3UTR	1303673	AT1G04680	35	5
3UTR	1303713	AT1G04680	5	1
3UTR	1303773	AT1G04680	5	1
3UTR	1315689	AT1G04690	38	1
3UTR	1315744	AT1G04690	501	5
3UTR	1324781	AT1G04710	19	3
3UTR	1331577	AT1G04750	3	1
3UTR	1331693	AT1G04750	165	24
3UTR	1331760	AT1G04750	1	1
3UTR	1348501	AT1G04800	3	36
3UTR	1355367	AT1G04810	16	1
3UTR	1356252	AT1G04820	533	478
3UTR	1358932	AT1G04830	10	4
3UTR	1369121	AT1G04860	26	19
3UTR	1373341	AT1G04870	30	19
3UTR	1387837	AT1G04900	2	1
3UTR	1387856	AT1G04910	22	7
3UTR	1400724	AT1G04940	11	1
3UTR	1400768	AT1G04940	353	102
3UTR	1403089	AT1G04950	4	1
3UTR	1403154	AT1G04950	12	2
3UTR	1407799	AT1G04960	31	1
3UTR	1407881	AT1G04960	5	3
3UTR	1413773	AT1G04980	3	3
3UTR	1416413	AT1G04985	466	749
3UTR	1419138	AT1G04990	18	21
3UTR	1428697	AT1G05000	79	1
3UTR	1431260	AT1G05010	1696	35
3UTR	1451057	AT1G05060	20	10
3UTR	1470821	AT1G05100	1	3
5UTR	1469650	AT1G05100	250	34
3UTR	1484010	AT1G05140	1	10
3UTR	1484053	AT1G05140	21	4
3UTR	1502388	AT1G05190	14	66
3UTR	1509207	AT1G05205	35	115
3UTR	1531640	AT1G05270	62	38
3UTR	1550598	AT1G05310	16	16
3UTR	1557732	AT1G05320	14	11
3UTR	1558925	AT1G05340	64	29
3UTR	1560692	AT1G05350	34	5
3UTR	1560752	AT1G05350	8	8
3UTR	1585430	AT1G05410	168	1407
3UTR	1594059	AT1G05430	45	1
3UTR	1594114	AT1G05430	3	2
3UTR	1596087	AT1G05440	1	1
3UTR	1607313	AT1G05470	9	1
3UTR	1607348	AT1G05470	8	5
3UTR	1629189	AT1G05500	177	33
3UTR	1630837	AT1G05510	3	10
3UTR	1630899	AT1G05520	38	9
3UTR	1640864	AT1G05540	4	1
3UTR	1647752	AT1G05570	16	8
3UTR	1661708	AT1G05575	95	3
3UTR	1671702	AT1G05590	2	1
3UTR	1671873	AT1G05590	102	137
CDS	1670807	AT1G05590	3	3
3UTR	1673793	AT1G05600	11	4
3UTR	1687425	AT1G05630	46	62
CDS	1701141	AT1G05670	6	3
3UTR	1703098	AT1G05680	3	1
3UTR	1709328	AT1G05690	12	40
3UTR	1717472	AT1G05720	24	4
3UTR	1720214	AT1G05730	1	2
3UTR	1720328	AT1G05730	12	8
3UTR	1723669	AT1G05760	1	1
3UTR	1728405	AT1G05780	19	6
3UTR	1732603	AT1G05785	60	10
3UTR	1747545	AT1G05805	10	4
3UTR	1747619	AT1G05805	11	16
3UTR	1749510	AT1G05810	130	14
3UTR	1753991	AT1G05820	12	2
3UTR	1761754	AT1G05830	8	6
3UTR	1761818	AT1G05830	18	10
3UTR	1762768	AT1G05835	2	1
3UTR	1762769	AT1G05840	41	6
3UTR	1766573	AT1G05850	1575	6630
3UTR	1766772	AT1G05850	1	6
3UTR	1784494	AT1G05890	68	6
3UTR	1789672	AT1G05900	3	1
3UTR	1796592	AT1G05910	4	28
3UTR	1796662	AT1G05910	12	14
3UTR	1801177	AT1G05940	18	2
3UTR	1808309	AT1G05960	15	2
3UTR	1808380	AT1G05960	1	2
3UTR	1823932	AT1G06010	15	1
3UTR	1828444	AT1G06040	76	149
3UTR	1828498	AT1G06040	495	450
3UTR	1830511	AT1G06050	11	1
3UTR	1834892	AT1G06070	5	1
3UTR	1846301	AT1G06080	94	24
3UTR	1849701	AT1G06090	38	8
3UTR	1853132	AT1G06110	59	12
3UTR	1857788	AT1G06130	295	55
