Gene	Chromosome	Strand	Position	Raw DRS read count	pA peak number
AT1G01010	chr1	fwd	5868	10.5	2nd_peak
AT1G01010	chr1	fwd	5895	18	1st_peak
AT1G01020	chr1	rev	6831	17.5	2nd_peak
AT1G01020	chr1	rev	6858	64.4	1st_peak
AT1G01020	chr1	rev	6876	14	3rd_peak
AT1G01020	chr1	rev	6880	13	4th_peak
AT1G01040	chr1	fwd	31154	23.1	3rd_peak
AT1G01040	chr1	fwd	31175	100.3	1st_peak
AT1G01040	chr1	fwd	31185	51.7	2nd_peak
AT1G01050	chr1	rev	31171	20	6th_peak
AT1G01050	chr1	rev	31181	68.9	3rd_peak
AT1G01050	chr1	rev	31187	57.6	4th_peak
AT1G01050	chr1	rev	31199	40.4	5th_peak
AT1G01050	chr1	rev	31207	158.1	1st_peak
AT1G01050	chr1	rev	31221	93	2nd_peak
AT1G01050	chr1	rev	31271	13.4	7th_peak
AT1G01050	chr1	rev	31285	13	8th_peak
AT1G01060	chr1	rev	33734	34.7	2nd_peak
AT1G01060	chr1	rev	33744	36.7	1st_peak
AT1G01070	chr1	rev	38754	18.3	2nd_peak
AT1G01070	chr1	rev	38804	10.2	3rd_peak
AT1G01070	chr1	rev	38811	18.7	1st_peak
AT1G01080	chr1	rev	45294	54.1	2nd_peak
AT1G01080	chr1	rev	45331	21.9	6th_peak
AT1G01080	chr1	rev	45344	44.4	4th_peak
AT1G01080	chr1	rev	45352	84.3	1st_peak
AT1G01080	chr1	rev	45363	12.2	9th_peak
AT1G01080	chr1	rev	45376	14	7th_peak
AT1G01080	chr1	rev	45382	50.3	3rd_peak
AT1G01080	chr1	rev	45408	28.4	5th_peak
AT1G01080	chr1	rev	45426	13	8th_peak
AT1G01090	chr1	rev	47523	304.1	1st_peak
AT1G01090	chr1	rev	47542	49.2	4th_peak
AT1G01090	chr1	rev	47557	130.5	2nd_peak
AT1G01090	chr1	rev	47598	96.3	3rd_peak
AT1G01090	chr1	rev	47605	14.7	6th_peak
AT1G01090	chr1	rev	47615	46.5	5th_peak
AT1G01100	chr1	rev	50076	43	7th_peak
AT1G01100	chr1	rev	50093	531.7	3rd_peak
AT1G01100	chr1	rev	50117	954.2	1st_peak
AT1G01100	chr1	rev	50142	355.4	5th_peak
AT1G01100	chr1	rev	50160	303.2	6th_peak
AT1G01100	chr1	rev	50178	432.4	4th_peak
AT1G01100	chr1	rev	50188	27.5	8th_peak
AT1G01100	chr1	rev	50198	638.7	2nd_peak
AT1G01120	chr1	rev	57271	97.6	2nd_peak
AT1G01120	chr1	rev	57285	120	1st_peak
AT1G01140	chr1	rev	64168	131.4	2nd_peak
AT1G01140	chr1	rev	64184	90.6	3rd_peak
AT1G01140	chr1	rev	64284	20.5	5th_peak
AT1G01140	chr1	rev	64301	192	1st_peak
AT1G01140	chr1	rev	64318	44.6	4th_peak
AT1G01140	chr1	rev	64337	10	6th_peak
AT1G01160	chr1	fwd	74045	72	1st_peak
AT1G01160	chr1	fwd	74095	15.2	2nd_peak
AT1G01170	chr1	rev	73933	75	4th_peak
AT1G01170	chr1	rev	73972	104.5	3rd_peak
AT1G01170	chr1	rev	73983	42.4	6th_peak
AT1G01170	chr1	rev	73994	541.9	1st_peak
AT1G01170	chr1	rev	74011	195.2	2nd_peak
AT1G01170	chr1	rev	74029	21	7th_peak
AT1G01170	chr1	rev	74046	46	5th_peak
AT1G01180	chr1	fwd	76677	23.7	2nd_peak
AT1G01180	chr1	fwd	76684	50.3	1st_peak
AT1G01190	chr1	rev	82865	46.3	1st_peak
AT1G01210	chr1	fwd	89743	34	3rd_peak
AT1G01210	chr1	fwd	89754	42.4	1st_peak
AT1G01210	chr1	fwd	89758	38.9	2nd_peak
AT1G01220	chr1	fwd	95660	44.1	1st_peak
AT1G01230	chr1	fwd	99211	198.9	1st_peak
AT1G01230	chr1	fwd	99222	10	3rd_peak
AT1G01230	chr1	fwd	99238	95	2nd_peak
AT1G01240	chr1	fwd	101801	95.9	2nd_peak
AT1G01240	chr1	fwd	101818	34.3	5th_peak
AT1G01240	chr1	fwd	101826	81.1	3rd_peak
AT1G01240	chr1	fwd	101833	123.1	1st_peak
AT1G01240	chr1	fwd	101840	70.5	4th_peak
AT1G01250	chr1	rev	104504	21.7	1st_peak
AT1G01250	chr1	rev	104581	10	2nd_peak
AT1G01260	chr1	fwd	111538	29	2nd_peak
AT1G01260	chr1	fwd	111601	35.9	1st_peak
AT1G01290	chr1	fwd	115547	12.6	1st_peak
AT1G01300	chr1	fwd	118625	12	6th_peak
AT1G01300	chr1	fwd	118634	11.2	7th_peak
AT1G01300	chr1	fwd	118653	56.4	1st_peak
AT1G01300	chr1	fwd	118679	14	5th_peak
AT1G01300	chr1	fwd	118700	20	3rd_peak
AT1G01300	chr1	fwd	118712	10	8th_peak
AT1G01300	chr1	fwd	118736	32	2nd_peak
AT1G01300	chr1	fwd	118768	16	4th_peak
AT1G01320	chr1	rev	121109	12	3rd_peak
AT1G01320	chr1	rev	121137	342	1st_peak
AT1G01320	chr1	rev	121158	100	2nd_peak
AT1G01350	chr1	fwd	138094	35	1st_peak
AT1G01350	chr1	fwd	138135	12.6	3rd_peak
AT1G01350	chr1	fwd	138151	13.8	2nd_peak
AT1G01360	chr1	fwd	143160	16.9	3rd_peak
AT1G01360	chr1	fwd	143177	206.1	1st_peak
AT1G01360	chr1	fwd	143192	74.5	2nd_peak
AT1G01430	chr1	rev	156730	68	2nd_peak
AT1G01430	chr1	rev	156751	10	4th_peak
AT1G01430	chr1	rev	156812	290	1st_peak
AT1G01430	chr1	rev	156901	13	3rd_peak
AT1G01440	chr1	rev	159860	10	1st_peak
AT1G01470	chr1	rev	172157	26.2	2nd_peak
AT1G01470	chr1	rev	172191	673	1st_peak
AT1G01490	chr1	rev	180063	38.4	9th_peak
AT1G01490	chr1	rev	180076	17	14th_peak
AT1G01490	chr1	rev	180096	10.2	16th_peak
AT1G01490	chr1	rev	180113	22.3	11th_peak
AT1G01490	chr1	rev	180128	392.9	1st_peak
AT1G01490	chr1	rev	180146	64.7	6th_peak
AT1G01490	chr1	rev	180162	37	10th_peak
AT1G01490	chr1	rev	180199	18.4	13th_peak
AT1G01490	chr1	rev	180218	142.8	3rd_peak
AT1G01490	chr1	rev	180231	124.1	4th_peak
AT1G01490	chr1	rev	180292	14.6	15th_peak
AT1G01490	chr1	rev	180310	257.7	2nd_peak
AT1G01490	chr1	rev	180330	22	12th_peak
AT1G01490	chr1	rev	180337	49.6	8th_peak
AT1G01490	chr1	rev	180348	10.2	17th_peak
AT1G01490	chr1	rev	180353	62.8	7th_peak
AT1G01490	chr1	rev	180374	115.5	5th_peak
AT1G01500	chr1	fwd	186786	13	2nd_peak
AT1G01500	chr1	fwd	186948	40.4	1st_peak
AT1G01510	chr1	fwd	190033	58	2nd_peak
AT1G01510	chr1	fwd	190131	27.7	3rd_peak
AT1G01510	chr1	fwd	190156	76.7	1st_peak
AT1G01540	chr1	fwd	198507	16.8	6th_peak
AT1G01540	chr1	fwd	198531	28.5	2nd_peak
AT1G01540	chr1	fwd	198563	23.1	3rd_peak
AT1G01540	chr1	fwd	198569	12.8	7th_peak
AT1G01540	chr1	fwd	198578	10.7	9th_peak
AT1G01540	chr1	fwd	198585	10.8	8th_peak
AT1G01540	chr1	fwd	198598	106.5	1st_peak
