chr	strand	region	polyA_site	sense gene	leaf tpm	seed tpm	tair_EST	8K	PACdb	MPSS
Chr1	+	3UTR	5946	AT1G01010	1	0	0	0	0	1
Chr1	-	3UTR	31196	AT1G01050	3	2	0	0	1	1
Chr1	-	3UTR	33741	AT1G01060	0	4	0	0	1	1
Chr1	-	3UTR	38713	AT1G01070	4	0	0	0	0	1
Chr1	-	3UTR	38752	AT1G01070	6	0	0	0	0	1
Chr1	-	3UTR	45292	AT1G01080	2	0	0	0	0	1
Chr1	-	3UTR	45400	AT1G01080	22	0	0	0	0	1
Chr1	-	3UTR	45206	AT1G01080	0	2	0	0	0	1
Chr1	-	3UTR	45348	AT1G01080	6	0	0	0	0	0
Chr1	-	3UTR	45374	AT1G01080	5	0	0	0	0	1
Chr1	-	3UTR	47484	AT1G01090	0	2	1	0	1	1
Chr1	-	3UTR	47613	AT1G01090	0	2	1	1	0	1
Chr1	-	3UTR	50196	AT1G01100	27	20	1	0	0	1
Chr1	-	3UTR	50114	AT1G01100	5	14	1	1	1	1
Chr1	-	3UTR	50054	AT1G01100	0	2	0	0	0	1
Chr1	-	3UTR	50015	AT1G01100	2	4	0	0	0	1
Chr1	-	3UTR	50141	AT1G01100	8	12	0	0	0	1
Chr1	+	3UTR	54670	AT1G01110	2	0	0	0	0	1
Chr1	+	3UTR	54642	AT1G01110	2	0	0	0	0	1
Chr1	-	3UTR	57240	AT1G01120	25	0	0	0	0	1
Chr1	-	3UTR	57283	AT1G01120	6	0	0	1	0	1
Chr1	-	3UTR	64111	AT1G01140	1	0	0	0	0	0
Chr1	-	3UTR	64179	AT1G01140	20	0	0	0	1	0
Chr1	-	3UTR	64298	AT1G01140	27	2	0	0	0	1
Chr1	-	3UTR	64369	AT1G01140	2	0	0	0	0	1
Chr1	+	3UTR	74047	AT1G01160	3	42	0	1	0	1
Chr1	-	3UTR	73992	AT1G01170	87	48	1	0	1	0
Chr1	-	3UTR	73947	AT1G01170	9	0	0	0	0	0
Chr1	-	3UTR	73887	AT1G01170	2	0	0	0	0	1
Chr1	-	3UTR	74044	AT1G01170	2	9	0	0	0	0
Chr1	-	3UTR	83022	AT1G01190	1	0	0	0	0	1
Chr1	-	3UTR	82991	AT1G01190	1	0	0	0	0	1
Chr1	-	3UTR	82923	AT1G01190	3	0	0	0	0	1
Chr1	-	3UTR	82862	AT1G01190	9	0	0	0	0	1
Chr1	-	3UTR	86482	AT1G01200	1	0	0	0	0	1
Chr1	-	3UTR	86512	AT1G01200	1	0	0	0	0	1
Chr1	+	3UTR	95650	AT1G01220	1	20	0	0	0	1
Chr1	+	3UTR	97300	AT1G01225	1	0	0	0	0	0
Chr1	+	3UTR	97340	AT1G01225	4	0	0	0	0	0
Chr1	+	3UTR	97398	AT1G01225	2	0	0	0	0	0
Chr1	+	3UTR	97426	AT1G01225	5	0	0	0	0	0
Chr1	+	3UTR	99240	AT1G01230	49	255	1	1	1	0
Chr1	+	3UTR	99201	AT1G01230	55	482	0	0	0	0
Chr1	+	3UTR	99136	AT1G01230	0	14	0	0	0	0
Chr1	-	3UTR	104503	AT1G01250	7	20	0	0	0	1
Chr1	-	3UTR	104569	AT1G01250	2	0	0	0	0	1
Chr1	-	3UTR	104631	AT1G01250	2	4	0	0	0	1
Chr1	+	3UTR	111647	AT1G01260	4	6	0	0	0	1
Chr1	+	3UTR	111588	AT1G01260	0	4	0	0	0	1
Chr1	+	3UTR	111539	AT1G01260	2	20	0	1	0	1
Chr1	+	3UTR	111478	AT1G01260	0	2	0	0	0	1
Chr1	+	3UTR	118769	AT1G01300	15	14	0	1	0	1
Chr1	+	3UTR	118715	AT1G01300	9	8	0	0	0	1
Chr1	+	3UTR	118628	AT1G01300	6	0	0	0	0	1
Chr1	+	3UTR	118599	AT1G01300	4	0	0	0	0	1
Chr1	-	3UTR	121082	AT1G01320	4	2	0	0	0	0
Chr1	-	3UTR	121055	AT1G01320	4	2	0	0	0	0
Chr1	-	3UTR	121239	AT1G01320	0	2	0	0	0	0
Chr1	-	3UTR	121338	AT1G01320	0	2	0	0	0	0
Chr1	-	3UTR	121206	AT1G01320	1	13	0	0	0	0
Chr1	-	3UTR	121157	AT1G01320	65	42	0	1	0	0
Chr1	-	3UTR	121125	AT1G01320	32	12	0	1	0	0
Chr1	-	3UTR	132318	AT1G01340	2	0	0	0	0	1
Chr1	-	3UTR	132265	AT1G01340	0	2	0	0	0	1
Chr1	+	3UTR	138152	AT1G01350	1	0	0	0	0	0
Chr1	+	3UTR	139641	AT1G01355	0	2	0	0	0	1
Chr1	+	3UTR	139697	AT1G01355	0	2	0	0	0	1
Chr1	+	3UTR	145623	AT1G01370	5	2	1	0	0	1
Chr1	+	3UTR	145595	AT1G01370	2	0	1	0	0	1
Chr1	+	3UTR	145560	AT1G01370	1	0	0	0	0	1
Chr1	+	3UTR	147813	AT1G01380	1	0	0	0	0	1
