Peak class,Chromosome,Start,End,Length,"Enrichment (Input/IP, Log2)",FDR,Peak position,Gene
PeakStop,Chr1,31283,31401,118,-3.9589355914,2.51E-06,StopCodon,AtPPa1
PeakStop,Chr1,45423,45526,103,-4.1333765847,1.33E-08,StopCodon,AT1G01080
PeakBoth,Chr1,47631,47701,70,-3.125320862,7.71E-15,StopCodon,PDH-E1 ALPHA
PeakBoth,Chr1,49001,49201,200,-3.5722012516,7.40E-13,StartCodon,PDH-E1 ALPHA
PeakStop,Chr1,50176,50326,150,-2.9702387451,7.19E-05,StopCodon,AT1G01100
PeakStop,Chr1,64167,64351,184,-4.0212086748,6.26E-06,StopCodon,CIPK9
PeakStop,Chr1,73876,74026,150,-3.3029726038,7.34E-20,StopCodon,GIF2
PeakStart,Chr1,117212,117326,114,-3.6726107808,7.94E-16,StartCodon,AT1G01300
PeakStop,Chr1,137951,138076,125,-3.6288763318,1.71E-26,StopCodon,AT1G01350
PeakStart,Chr1,158301,158401,100,-3.1085658828,9.01E-18,StartCodon,TBL25
PeakStop,Chr1,159851,159951,100,-3.7796923763,4.57E-09,StopCodon,AT1G01440
PeakStop,Chr1,180326,180726,400,-3.1353388028,5.46E-06,StopCodon,AT1G01490
PeakStop,Chr1,233106,233226,120,-4.2601881495,2.89E-08,StopCodon,SPPL4
PeakStop,Chr1,290880,291101,221,-4.8921856008,2.05E-05,StopCodon,KEA1
PeakStop,Chr1,319940,320076,136,-4.3929222078,3.32E-20,StopCodon,AT1G01930
PeakStop,Chr1,324701,324851,150,-4.6543240818,5.79E-09,StopCodon,AT1G01940
PeakStop,Chr1,330793,330876,83,-2.8084462286,6.00E-06,StopCodon,EDA10
PeakStart,Chr1,343926,344101,175,-4.5497928064,2.68E-05,StartCodon,AT1G01990
PeakMid,Chr1,365826,365951,125,-3.4609780891,0.000324363,CDS,SPL8
PeakStop,Chr1,386601,386776,175,-3.3355331545,5.05E-06,StopCodon,AT1G02080
PeakStop,Chr1,387583,387676,93,-3.5815108031,1.40E-62,StopCodon,CSN7
PeakMid,Chr1,393101,393326,225,-2.979054666,0.0001970728,CDS,AT1G02110
PeakStop,Chr1,399701,399901,200,-3.8392300589,6.92E-14,StopCodon,VAD1
PeakStop,Chr1,400246,400351,105,-4.109836887,0.0001242484,StopCodon,ATRABD2A
PeakStop,Chr1,408451,408651,200,-4.1834890633,8.08E-05,StopCodon,EBS4
PeakStop,Chr1,410401,410576,175,-2.9438881122,5.60E-10,StopCodon,AT1G02150
PeakStart,Chr1,411976,412076,100,-3.2034385119,6.44E-21,StartCodon,MCP1B
PeakStop,Chr1,443276,443401,125,-3.6457886688,0.0005889178,StopCodon,AT1G02270
PeakStop,Chr1,462167,462276,109,-4.2528754604,9.43E-18,StopCodon,AT1G02330
PeakStop,Chr1,492701,492826,125,-2.8056651669,3.56E-08,StopCodon,AT1G02410
PeakStart,Chr1,515201,515276,75,-2.6669141664,3.14E-08,StartCodon,AT1G02475
PeakStop,Chr1,520201,520301,100,-2.9622258357,5.25E-49,StopCodon,MAT1
PeakBoth,Chr1,537976,538076,100,-2.7830369225,5.13E-14,StartCodon,NCLPP5
PeakBoth,Chr1,539776,539951,175,-3.4817100758,6.81E-52,StopCodon,NCLPP5
PeakStop,Chr1,607993,608126,133,-4.6043135782,2.78E-11,StopCodon,emb2386
PeakStop,Chr1,629579,629701,122,-3.8098578933,2.14E-08,StopCodon,SR34
PeakStop,Chr1,703601,703751,150,-3.852485521,2.24E-07,StopCodon,AT1G03030
PeakBoth,Chr1,703951,704126,175,-3.1264264511,0.0004835708,3pUTR,AT1G03040
PeakBoth,Chr1,706401,706526,125,-3.600589792,3.62E-08,StartCodon,AT1G03040
PeakStop,Chr1,712673,712801,128,-3.7479864041,2.14E-05,3pUTR,SPI
PeakStop,Chr1,743869,743951,82,-4.3026268325,7.89E-06,StopCodon,MCCA
PeakStop,Chr1,754404,754501,97,-2.5558574975,0.0003816071,StopCodon,AT1G03140
PeakStop,Chr1,758376,758501,125,-2.7102683022,8.58E-05,StopCodon,AT1G03150
PeakStop,Chr1,766032,766151,119,-5.2137071731,5.57E-27,StopCodon,FZL
PeakStart,Chr1,787176,787301,125,-3.2188803031,2.12E-12,StartCodon,AT1G03220
PeakStart,Chr1,790126,790326,200,-3.4015520455,1.40E-11,StartCodon,AT1G03230
PeakStop,Chr1,793442,793526,84,-4.5158632327,3.28E-07,StopCodon,AT1G03250
