id	Protein IDs	Majority protein IDs	Protein names	Gene names	iBAQ CCL_H rep1	log10 IBAQ CCL rep1	iBAQ CCL_L rep2	log10 IBAQ CCL rep2	iBAQ CCL_L rep3	log10 IBAQ CCL rep3	Median IBAQ CCL	log10 Median CCL	Ratio CCl_H/NoCL_L rep1	Ratio CLL_L/NoCL_H rep2	Ratio CLL_L/NoCL_H rep3	iBAQ	iBAQ L	iBAQ H	iBAQ rep1	iBAQ NoCL_L rep1	iBAQ rep2	iBAQ NoCL_H rep2	iBAQ rep3	iBAQ NoCL_H rep3	GOBP name	GOMF name	GOCC name	KEGG name	Pfam	Ratio H/L count rep1	Ratio H/L count rep2	Ratio H/L count rep3	Intensity L	Intensity H	Intensity rep1	Intensity L rep1	Intensity H rep1	Intensity rep2	Intensity L rep2	Intensity H rep2	Intensity rep3	Intensity L rep3	Intensity H rep3
0	O23676;A0A023T774	O23676;A0A023T774	Protein mago nashi homolog		0	NaN	0	NaN	0	NaN	0	Err:502	NaN	NaN	NaN	0	0	0	0	0	0	0	0	0	biological regulation;chemotaxis;developmental process;developmental process involved in reproduction;embryo development;embryo development ending in seed dormancy;locomotion;pollen tube guidance;positive chemotaxis;positive regulation of biological process;positive regulation of gene expression;positive regulation of macromolecule metabolic process;positive regulation of metabolic process;regulation of biological process;regulation of gene expression;regulation of macromolecule metabolic process;regulation of metabolic process;reproductive process;response to chemical stimulus;response to external stimulus;response to stimulus;taxis		cell part;chloroplast;cytoplasmic part;exon-exon junction complex;intracellular membrane-bounded organelle;intracellular non-membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;macromolecular complex;membrane-bounded organelle;non-membrane-bounded organelle;nuclear body;nuclear part;nuclear speck;nucleolus;nucleoplasm part;organelle;organelle part;plastid;protein complex	mRNA surveillance pathway;RNA transport;Spliceosome	Mago_nashi	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	A0A075M4Z6;A0A075M3N4;F4KA76;P10798;P10797;B3H5S2;P10796	A0A075M4Z6;A0A075M3N4;F4KA76;P10798;P10797;B3H5S2;P10796	Ribulose bisphosphate carboxylase small chain;Ribulose bisphosphate carboxylase small chain 3B, chloroplastic;Ribulose bisphosphate carboxylase small chain 2B, chloroplastic;Ribulose bisphosphate carboxylase small chain 1B, chloroplastic	RBCS-3B;RBCS-2B;RBCS-1B	0	NaN	0	NaN	25021	4.3983046629	0	Err:502	NaN	NaN	-1.03379	135370	25021	110350	0	0	0	0	135370	110350	biosynthetic process;carbohydrate biosynthetic process;carbohydrate metabolic process;carbon fixation;cellular biosynthetic process;cellular component biogenesis;cellular component biogenesis at cellular level;cellular component organization or biogenesis;cellular component organization or biogenesis at cellular level;cellular metabolic compound salvage;cellular metabolic process;cellular process;chloroplast ribulose bisphosphate carboxylase complex biogenesis;metabolic process;organic substance metabolic process;photorespiration;photosynthesis;photosynthesis, dark reaction;primary metabolic process;protein complex biogenesis;reductive pentose-phosphate cycle;response to abiotic stimulus;response to blue light;response to far red light;response to light stimulus;response to radiation;response to red light;response to red or far red light;response to stimulus	carbon-carbon lyase activity;carboxy-lyase activity;catalytic activity;lyase activity;monooxygenase activity;oxidoreductase activity;ribulose-bisphosphate carboxylase activity	apoplast;cell part;cell wall;chloroplast;chloroplast envelope;chloroplast membrane;chloroplast part;chloroplast stroma;cytoplasmic part;cytosolic part;cytosolic ribosome;envelope;external encapsulating structure;extracellular region;intracellular membrane-bounded organelle;intracellular non-membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;macromolecular complex;membrane;membrane-bounded organelle;non-membrane-bounded organelle;organelle;organelle envelope;organelle membrane;organelle part;plastid;plastid envelope;plastid membrane;plastid part;plastid stroma;ribonucleoprotein complex;ribosome;thylakoid	Carbon fixation in photosynthetic organisms;Glyoxylate and dicarboxylate metabolism	RbcS;RuBisCO_small	0	0	2	300260	1324100	0	0	0	0	0	0	1624400	300260	1324100
2	A0A075M569;Q0WVH4;P10795;Q42306;Q42046;F4HRR5	A0A075M569;Q0WVH4;P10795;Q42306;Q42046;F4HRR5	Ribulose bisphosphate carboxylase small chain;Ribulose bisphosphate carboxylase small chain 1A, chloroplastic	At1g67090;RBCS-1A;RBCS1A	0	NaN	0	NaN	2604.9	3.4157910557	0	Err:502	NaN	NaN	NaN	13803	2604.9	11198	0	0	0	0	13803	11198	biosynthetic process;carbohydrate biosynthetic process;carbohydrate metabolic process;carbon fixation;cellular biosynthetic process;cellular component biogenesis;cellular component biogenesis at cellular level;cellular component organization or biogenesis;cellular component organization or biogenesis at cellular level;cellular metabolic compound salvage;cellular metabolic process;cellular process;chloroplast ribulose bisphosphate carboxylase complex biogenesis;metabolic process;organic substance metabolic process;photorespiration;photosynthesis;photosynthesis, dark reaction;primary metabolic process;protein complex biogenesis;reductive pentose-phosphate cycle;response to abiotic stimulus;response to blue light;response to cold;response to far red light;response to light stimulus;response to radiation;response to red light;response to red or far red light;response to stimulus;response to stress;response to temperature stimulus	binding;carbon-carbon lyase activity;carboxy-lyase activity;catalytic activity;cation binding;copper ion binding;ion binding;lyase activity;metal ion binding;monooxygenase activity;oxidoreductase activity;ribulose-bisphosphate carboxylase activity;transition metal ion binding	apoplast;cell part;chloroplast;chloroplast envelope;chloroplast membrane;chloroplast part;chloroplast stroma;chloroplast thylakoid membrane;cytoplasmic part;cytosolic part;cytosolic ribosome;envelope;extracellular region;intracellular membrane-bounded organelle;intracellular non-membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;macromolecular complex;membrane;membrane-bounded organelle;non-membrane-bounded organelle;organelle;organelle envelope;organelle membrane;organelle part;photosynthetic membrane;plastid;plastid envelope;plastid membrane;plastid part;plastid stroma;plastid thylakoid membrane;ribonucleoprotein complex;ribosome;thylakoid lumen;thylakoid membrane;thylakoid part	Carbon fixation in photosynthetic organisms;Glyoxylate and dicarboxylate metabolism	RbcS;RuBisCO_small	0	0	1	31259	134380	0	0	0	0	0	0	165640	31259	134380
4	A0NAA9;Q0WWV8;P51424	A0NAA9;Q0WWV8;P51424	60S ribosomal protein L39-1	At2g25210;RPL39A	5778300	6.761800086	0	NaN	3929500	6.5943372931	3929500	6.5943372931	NaN	NaN	NaN	10022000	4171200	5850600	6019900	241620	0	0	4001800	72303	biosynthetic process;cellular biosynthetic process;cellular macromolecule biosynthetic process;cellular macromolecule metabolic process;cellular metabolic process;cellular process;cellular protein metabolic process;macromolecule biosynthetic process;macromolecule metabolic process;metabolic process;primary metabolic process;protein metabolic process;translation	structural constituent of ribosome;structural molecule activity	cell part;cytoplasmic part;cytosolic large ribosomal subunit;intracellular non-membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;large ribosomal subunit;macromolecular complex;non-membrane-bounded organelle;organelle;organelle part;ribonucleoprotein complex;ribosome	Ribosome	Ribosomal_L39	1	0	1	4171200	5850600	6019900	241620	5778300	0	0	0	4001800	3929500	72303
5	A1A6K6;Q8GYL1;F4I435;O49280	A1A6K6;Q8GYL1;F4I435;O49280		At1g76940/F22K20_23;F22K20.4	51183	4.7091257377	66481	4.8226975434	211800	5.3259259558	66481	4.8226975434	NaN	NaN	NaN	390630	280820	109810	53726	2542.8	106320	39840	230580	18787	cellular macromolecule metabolic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;macromolecule metabolic process;metabolic process;mRNA metabolic process;mRNA processing;nitrogen compound metabolic process;nuclear mRNA splicing, via spliceosome;nucleic acid metabolic process;nucleobase-containing compound metabolic process;primary metabolic process;RNA metabolic process;RNA processing;RNA splicing;RNA splicing, via transesterification reactions;RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	binding;nucleic acid binding;nucleotide binding;RNA binding;snRNA binding			RRM_1	1	1	1	3369800	1317700	644710	30513	614200	1275800	797770	478080	2767000	2541600	225440
6	O04503;A1L4X2;Q56XH8	O04503;A1L4X2;Q56XH8		F21M12.20;ECT11	62892	4.7985954058	22500	4.3521825181	169150	5.2282720021	62892	4.7985954058	NaN	NaN	3.11491	347220	203820	143400	75061	12169	22500	0	249660	80507					YTH	1	0	3	4891600	3441600	1801500	292060	1509400	540010	540010	0	5991700	4059600	1932200
7	Q9M0D1;Q9M0D2;O80803;A2RVL7;Q41943;Q9FI31;Q9ZV40	Q9M0D1;Q9M0D2;O80803;A2RVL7;Q41943;Q9FI31;Q9ZV40	Probable xyloglucan endotransglucosylase/hydrolase protein 19;Probable xyloglucan endotransglucosylase/hydrolase protein 18;Probable xyloglucan endotransglucosylase/hydrolase protein 17;Xyloglucan endotransglucosylase/hydrolase protein 20;Probable xyloglucan endotransglucosylase/hydrolase protein 21	XTH19;XTH18;XTH17;XTH20;XTH21	0	NaN	0	NaN	39944	4.601451553	0	Err:502	NaN	NaN	NaN	51954	39944	12010	0	0	0	0	51954	12010	anatomical structure development;carbohydrate metabolic process;cell wall macromolecule metabolic process;cell wall modification;cell wall organization;cell wall organization or biogenesis;cell wall polysaccharide metabolic process;cellular carbohydrate metabolic process;cellular cell wall macromolecule metabolic process;cellular cell wall organization or biogenesis;cellular component organization or biogenesis;cellular component organization or biogenesis at cellular level;cellular glucan metabolic process;cellular macromolecule metabolic process;cellular metabolic process;cellular polysaccharide metabolic process;cellular process;developmental process;glucan metabolic process;hemicellulose metabolic process;macromolecule metabolic process;metabolic process;organ development;organic substance metabolic process;polysaccharide metabolic process;primary metabolic process;primary root development;root development;xyloglucan metabolic process	catalytic activity;glucosyltransferase activity;hydrolase activity;hydrolase activity, acting on glycosyl bonds;hydrolase activity, hydrolyzing O-glycosyl compounds;transferase activity;transferase activity, transferring glycosyl groups;transferase activity, transferring hexosyl groups;xyloglucan endotransglucosylase activity;xyloglucan:xyloglucosyl transferase activity	apoplast;cell part;cell wall;cytoplasmic part;external encapsulating structure;extracellular region;Golgi apparatus;intracellular membrane-bounded organelle;intracellular organelle;intracellular part;membrane-bounded organelle;organelle;plant-type cell wall		Glyco_hydro_16;XET_C	0	0	1	679050	204170	0	0	0	0	0	0	883220	679050	204170
8	A2RVS6-2;A2RVS6	A2RVS6-2;A2RVS6		SRp34a	681290	5.8333320144	887670	5.9482515426	5915000	6.771954749	887670	5.9482515426	2.99811	3.29988	2.14089	8433100	6880100	1553000	758720	77434	955120	67451	6719200	804270	cellular macromolecule metabolic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;macromolecule metabolic process;metabolic process;nitrogen compound metabolic process;nucleic acid metabolic process;nucleobase-containing compound metabolic process;primary metabolic process;RNA metabolic process;RNA processing;RNA splicing	binding;nucleic acid binding;nucleotide binding	cell part;cytoplasmic part;cytosol;intracellular non-membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;non-membrane-bounded organelle;nuclear part;nucleolus;organelle;organelle part		RRM_1	6	2	13	96321000	21742000	10622000	1084100	9538000	13372000	12427000	944310	94069000	82810000	11260000
9	A4FVN8;Q9XIJ3	A4FVN8;Q9XIJ3			8076.9	3.9072447059	27508	4.4394590157	221960	5.3462747161	27508	4.4394590157	NaN	NaN	1.96477	300250	265690	34555	24305	16228	28107	599.47	247840	25879				Spliceosome	WD40	1	1	4	7705100	1002100	704840	470610	234230	815110	797730	17385	7187300	6436800	750490
10	A4FVR1;Q9LFZ2;Q9LG31	A4FVR1;Q9LFZ2;Q9LG31			23234	4.366123985	0	NaN	64587	4.8101451125	23234	4.366123985	NaN	NaN	NaN	94556	67522	27034	26170	2935.5	0	0	68386	3799.6	biosynthetic process;cellular biosynthetic process;cellular metabolic process;cellular nitrogen compound biosynthetic process;cellular nitrogen compound metabolic process;cellular process;heterocycle biosynthetic process;heterocycle metabolic process;metabolic process;nitrogen compound metabolic process;nucleobase-containing compound biosynthetic process;nucleobase-containing compound metabolic process;nucleobase-containing small molecule metabolic process;nucleoside metabolic process;nucleoside monophosphate biosynthetic process;nucleoside monophosphate metabolic process;nucleoside phosphate metabolic process;nucleotide biosynthetic process;nucleotide metabolic process;phosphate-containing compound metabolic process;phosphorus metabolic process;phosphorylation;primary metabolic process;pyrimidine nucleoside metabolic process;pyrimidine nucleoside monophosphate biosynthetic process;pyrimidine nucleoside monophosphate metabolic process;pyrimidine nucleotide biosynthetic process;pyrimidine nucleotide metabolic process;pyrimidine ribonucleoside metabolic process;pyrimidine ribonucleoside monophosphate biosynthetic process;pyrimidine ribonucleoside monophosphate metabolic process;pyrimidine ribonucleotide biosynthetic process;pyrimidine ribonucleotide metabolic process;pyrimidine-containing compound biosynthetic process;pyrimidine-containing compound metabolic process;ribonucleoside metabolic process;ribonucleoside monophosphate biosynthetic process;ribonucleoside monophosphate metabolic process;ribonucleotide biosynthetic process;ribonucleotide metabolic process;small molecule metabolic process;UMP biosynthetic process;UMP metabolic process	adenyl nucleotide binding;adenyl ribonucleotide binding;ATP binding;binding;catalytic activity;kinase activity;nucleobase-containing compound kinase activity;nucleoside kinase activity;nucleotide binding;phosphotransferase activity, alcohol group as acceptor;purine nucleotide binding;purine ribonucleoside triphosphate binding;purine ribonucleotide binding;ribonucleotide binding;transferase activity;transferase activity, transferring phosphorus-containing groups;uridine kinase activity			DUF1296;PRK	1	0	1	1282900	513640	497230	55775	441450	0	0	0	1299300	1227100	72192
